InvoiceNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV100038,Sugar,5,2023-11-19,11.58,19933,USA
CINV100038,Chocolate,5,2023-11-19,3.77,18561,India
INV100038,Milk,4,2023-11-19,13.67,14871,USA
INV100038,Coffee,4,2023-11-19,4.93,10986,USA
INV100038,Biscuits,1,2023-11-19,14.24,13404,Germany
INV100039,Chocolate,2,2023-05-16,0.54,17381,USA
INV100039,Vegetables,4,2023-05-16,4.72,13792,France
INV100039,Chicken,3,2023-05-16,10.69,17438,United Kingdom
INV100039,Rice,2,2023-05-16,13.9,19663,Germany
INV100039,Coffee,4,2023-05-16,2.16,13683,Germany
INV100039,Biscuits,3,2023-05-16,12.49,11169,United Kingdom
INV100039,Cheese,2,2023-05-16,11.99,19749,USA
INV100040,Shampoo,4,2023-05-28,14.17,18199,USA
INV100040,Juice,4,2023-05-28,6.85,19798,United Kingdom
INV100040,Fruits,4,2023-05-28,11.15,19891,France
INV100040,Soap,1,2023-05-28,1.82,19424,USA
INV100040,Toothpaste,1,2023-05-28,14.99,14415,USA
INV100040,Yogurt,1,2023-05-28,11.57,12870,India
INV100041,Cheese,5,2023-09-23,6.82,18056,United Kingdom
INV100041,Tomato Sauce,4,2023-09-23,5.55,15460,France
INV100041,Bread,1,2023-09-23,12.94,15403,India
INV100042,Shampoo,5,2023-12-22,1.03,11442,France
INV100042,Chips,3,2023-12-22,5.19,16622,USA
INV100042,Chocolate,1,2023-12-22,10.04,18889,India
INV100042,Toothpaste,4,2023-12-22,1.29,18494,France
INV100042,Soda,5,2023-12-22,11.47,17242,United Kingdom
INV100042,Detergent,2,2023-12-22,4.37,12146,France
INV100043,Juice,2,2023-08-13,5.01,10224,USA
INV100043,Yogurt,4,2023-08-13,1.85,11858,India
INV100043,Fruits,1,2023-08-13,9.89,12522,India
INV100043,Chicken,3,2023-08-13,7.88,14479,India
INV100044,Cream,5,2023-09-05,7.87,12236,United Kingdom
INV100044,Shampoo,3,2023-09-05,11.7,16798,France
INV100044,Milk,5,2023-09-05,4.37,10042,France
INV100044,Toothpaste,3,2023-09-05,12.64,19501,India
INV100044,Detergent,2,2023-09-05,6.97,17935,France
INV100044,Yogurt,3,2023-09-05,8.5,18903,India
INV100044,Pasta,4,2023-09-05,14.03,13090,Germany
INV100045,Cheese,3,2023-10-20,11.3,16246,India
INV100045,Chips,2,2023-10-20,7.68,10606,Germany
INV100045,Chocolate,5,2023-10-20,14.5,15439,United Kingdom
INV100045,Milk,4,2023-10-20,1.95,17486,United Kingdom
INV100045,Soda,2,2023-10-20,6.44,12529,United Kingdom
INV100045,Eggs,4,2023-10-20,11.83,14342,France
INV100046,Juice,5,2023-11-16,6.01,15188,India
INV100046,Yogurt,5,2023-11-16,1.02,11121,Germany
INV100046,Fruits,3,2023-11-16,14.96,11480,India
INV100046,Cream,1,2023-11-16,11.53,11646,India
INV100047,Bread,3,2023-03-27,5.7,17056,Germany
INV100047,Juice,2,2023-03-27,8.2,19272,Germany
INV100047,Milk,2,2023-03-27,3.04,19985,India
INV100047,Fruits,5,2023-03-27,10.41,18153,USA
INV100047,Butter,2,2023-03-27,3.87,14161,India
INV100047,Yogurt,3,2023-03-27,10.17,17622,France
INV100047,Eggs,5,2023-03-27,2.79,17237,France
INV100048,Vegetables,3,2023-10-28,7.12,14949,Germany
INV100048,Chicken,4,2023-10-28,12.87,11747,Germany
INV100048,Olive Oil,4,2023-10-28,8.79,19417,France
INV100049,Olive Oil,1,2023-12-25,8.71,10803,USA
INV100049,Chocolate,4,2023-12-25,12.58,14689,Germany
INV100049,Vegetables,5,2023-12-25,12.13,13588,Germany
INV100049,Chicken,5,2023-12-25,4.13,12240,United Kingdom
INV100049,Coffee,1,2023-12-25,4.98,17222,United Kingdom
INV100049,Biscuits,5,2023-12-25,5.79,12153,United Kingdom
INV100050,Pasta,5,2023-06-01,13.21,15994,USA
INV100050,Beef,5,2023-06-01,13.75,12695,France
INV100050,Tomato Sauce,4,2023-06-01,14.53,14835,France
INV100050,Sugar,1,2023-06-01,7.29,11233,Germany
INV100051,Coffee,5,2023-04-26,5.8,16464,United Kingdom
INV100051,Biscuits,3,2023-04-26,8.28,17451,France
INV100051,Chocolate,3,2023-04-26,8.98,16086,United Kingdom
INV100052,Vegetables,5,2023-12-12,5.26,19995,Germany
INV100052,Chicken,1,2023-12-12,9.71,17606,France
INV100052,Rice,4,2023-12-12,2.19,10742,United Kingdom
INV100053,Shampoo,2,2023-06-05,6.14,16078,USA
INV100053,Vegetables,4,2023-06-05,9.02,12531,India
INV100053,Toothpaste,1,2023-06-05,12.59,16686,France
INV100053,Rice,1,2023-06-05,10.51,13559,India
INV100053,Chicken,4,2023-06-05,14.28,15942,United Kingdom
INV100053,Detergent,3,2023-06-05,8.39,15876,United Kingdom
INV100054,Sugar,4,2023-07-23,1.83,13475,USA
INV100054,Milk,1,2023-07-23,1.23,15464,Germany
INV100054,Vegetables,2,2023-07-23,11.91,13362,United Kingdom
INV100054,Fish,5,2023-07-23,3.5,13538,Germany
INV100054,Rice,3,2023-07-23,11.73,19764,United Kingdom
INV100054,Coffee,3,2023-07-23,12.95,12370,Germany
INV100055,Vegetables,2,2023-10-04,0.72,13898,USA
INV100055,Fish,3,2023-10-04,0.73,14347,United Kingdom
INV100055,Rice,2,2023-10-04,11.25,18619,United Kingdom
INV100055,Milk,1,2023-10-04,7.41,15931,USA
INV100056,Coffee,5,2023-10-31,1.13,18543,France
INV100056,Sugar,4,2023-10-31,9.83,10510,United Kingdom
INV100056,Milk,4,2023-10-31,12.79,16984,United Kingdom
INV100057,Juice,3,2023-09-09,9.32,11076,Germany
INV100057,Yogurt,3,2023-09-09,9.55,19590,USA
INV100057,Fruits,3,2023-09-09,6.02,19787,USA
INV100057,Jam,3,2023-09-09,7.08,19919,India
INV100058,Bread,5,2023-02-20,10.95,13522,India
INV100058,Tomato Sauce,4,2023-02-20,13.38,16779,France
INV100058,Cheese,4,2023-02-20,6.28,11557,France
INV100058,Juice,4,2023-02-20,5.03,14176,France
INV100058,Fruits,2,2023-02-20,10.46,17770,United Kingdom
INV100058,Yogurt,1,2023-02-20,12.56,11527,India
INV100059,Water,5,2023-02-19,1.37,19201,USA
INV100059,Chips,3,2023-02-19,10.22,16730,France
INV100059,Soda,4,2023-02-19,13.09,10842,France
INV100060,Vegetables,2,2023-11-04,2.74,17900,Germany
INV100060,Chicken,1,2023-11-04,5.58,19113,France
INV100060,Olive Oil,1,2023-11-04,11.56,19406,Germany
INV100061,Cream,5,2023-08-08,10.29,19121,United Kingdom
INV100061,Yogurt,5,2023-08-08,13.97,14381,United Kingdom
INV100061,Milk,2,2023-08-08,4.46,15062,France
INV100062,Bread,4,2023-06-29,1.51,10502,United Kingdom
INV100062,Tea,5,2023-06-29,3.62,16878,India
INV100062,Sugar,3,2023-06-29,2.78,15105,France
INV100062,Milk,5,2023-06-29,9.15,10861,Germany
INV100062,Butter,2,2023-06-29,11.44,10815,United Kingdom
INV100062,Biscuits,3,2023-06-29,6.93,16947,India
INV100063,Soap,5,2023-11-07,2.15,17043,United Kingdom
INV100063,Toothpaste,3,2023-11-07,10.33,19717,India
INV100063,Shampoo,-5,2023-11-07,10.17,10744,Germany
INV100064,Pasta,2,2023-07-22,11.63,14186,France
INV100064,Olive Oil,3,2023-07-22,2.24,18149,India
INV100064,Cheese,2,2023-07-22,2.37,18725,Germany
INV100064,Sugar,5,2023-07-22,8.6,15802,United Kingdom
INV100064,Flour,4,2023-07-22,13.0,10693,India
INV100064,Milk,1,2023-07-22,7.17,11275,France
INV100064,Butter,5,2023-07-22,6.72,16626,India
INV100064,Eggs,3,2023-07-22,2.17,10341,France
INV100065,Sugar,3,2023-03-29,1.78,11734,Germany
INV100065,Flour,4,2023-03-29,9.04,18584,United Kingdom
INV100065,Milk,4,2023-03-29,13.12,15562,Germany
INV100065,Butter,3,2023-03-29,11.8,11251,USA
INV100065,Eggs,1,2023-03-29,8.19,13176,France
INV100066,Water,2,2023-06-29,3.93,12399,France
INV100066,Chips,2,2023-06-29,3.02,12504,United Kingdom
INV100066,Soda,2,2023-06-29,14.29,18095,India
INV100067,Cheese,5,2023-10-16,9.82,15295,France
INV100067,Eggs,2,2023-10-16,6.88,17682,India
INV100067,Milk,3,2023-10-16,12.05,19689,United Kingdom
INV100068,Shampoo,1,2023-06-30,5.85,14703,United Kingdom
INV100068,Soap,1,2023-06-30,9.42,18307,India
INV100068,Toothpaste,4,2023-06-30,8.91,10672,India
INV100068,Tissue,5,2023-06-30,9.95,15267,USA
INV100068,Bin Bags,4,2023-06-30,7.77,11013,India
INV100068,Detergent,1,2023-06-30,12.26,15626,United Kingdom
INV100069,Tomato Sauce,4,2023-09-16,8.1,19991,Germany
INV100069,Bread,3,2023-09-16,5.91,14634,India
INV100069,Cheese,4,2023-09-16,11.73,19795,United Kingdom
INV100069,Vegetables,3,2023-09-16,1.46,11548,USA
INV100069,Rice,4,2023-09-16,4.62,19874,Germany
INV100069,Chicken,3,2023-09-16,1.68,12317,France
INV100070,Cheese,5,2023-06-08,10.78,11388,France
INV100070,Tomato Sauce,5,2023-06-08,5.96,15381,Germany
INV100070,Bread,5,2023-06-08,1.86,16937,USA
INV100071,Bread,3,2023-07-05,14.24,17967,Germany
INV100071,Butter,2,2023-07-05,15.0,12538,United Kingdom
INV100071,Milk,3,2023-07-05,12.74,11657,USA
INV100071,Tomato Sauce,5,2023-07-05,12.61,18626,United Kingdom
INV100072,Pasta,5,2023-12-05,5.96,12658,Germany
INV100072,Beef,5,2023-12-05,12.23,12712,India
INV100072,Tomato Sauce,1,2023-12-05,6.46,13891,India
INV100073,Vegetables,2,2023-11-09,8.24,15070,India
INV100073,Chicken,2,2023-11-09,5.83,19345,India
INV100073,Olive Oil,4,2023-11-09,11.66,16256,USA
INV100074,Beer,5,2023-09-28,2.51,14096,United Kingdom
INV100074,Chips,4,2023-09-28,13.17,19085,United Kingdom
INV100075,Tissue,2,2023-12-31,4.46,18410,Germany
INV100075,Bin Bags,4,2023-12-31,1.83,13637,India
INV100075,Detergent,3,2023-12-31,13.99,16797,United Kingdom
INV100076,Tissue,1,2023-07-22,5.94,10461,France
INV100076,Bin Bags,1,2023-07-22,12.67,15493,Germany
INV100076,Detergent,2,2023-07-22,1.06,17740,Germany
INV100077,Toothpaste,1,2023-12-28,4.21,12449,USA
INV100077,Shampoo,5,2023-12-28,8.15,11821,France
INV100077,Detergent,2,2023-12-28,4.87,10782,Germany
INV100077,Jam,4,2023-12-28,9.76,17489,United Kingdom
INV100078,Toothpaste,5,2023-02-26,4.01,12352,France
INV100078,Shampoo,4,2023-02-26,0.52,15780,Germany
INV100078,Detergent,5,2023-02-26,6.54,11402,USA
INV100078,Toothpaste,3,2023-02-26,1.48,18618,USA
INV100079,Tissue,4,2023-09-17,1.13,16338,France
INV100079,Bin Bags,3,2023-09-17,11.34,15850,United Kingdom
INV100079,Detergent,3,2023-09-17,4.0,11698,USA
INV100080,Cream,2,2023-06-20,12.54,17612,India
INV100080,Tea,2,2023-06-20,12.27,11033,India
INV100080,Sugar,1,2023-06-20,4.75,10717,Germany
INV100080,Milk,1,2023-06-20,5.08,15080,USA
INV100080,Biscuits,4,2023-06-20,14.84,18897,India
INV100080,Yogurt,3,2023-06-20,1.03,13131,France
INV100081,Bread,1,2023-07-02,12.09,17159,India
INV100081,Tomato Sauce,4,2023-07-02,13.47,16334,France
INV100081,Cheese,2,2023-07-02,7.69,18151,France
INV100081,Milk,5,2023-07-02,4.37,11353,India
INV100081,Eggs,1,2023-07-02,6.74,12956,USA
INV100082,Pasta,3,2023-05-31,6.97,16981,Germany
INV100082,Beef,4,2023-05-31,5.6,10693,France
INV100082,Tomato Sauce,5,2023-05-31,14.97,14498,United Kingdom
INV100083,Coffee,2,2023-02-08,14.32,12339,USA
INV100083,Biscuits,4,2023-02-08,1.0,11101,Germany
INV100083,Chocolate,3,2023-02-08,5.75,19293,United Kingdom
INV100084,Tea,3,2023-11-06,6.94,11259,USA
INV100084,Sugar,2,2023-11-06,8.18,16521,France
INV100084,Biscuits,3,2023-11-06,4.12,11858,United Kingdom
INV100084,Milk,2,2023-11-06,7.74,16340,USA
INV100085,Vegetables,2,2023-03-02,14.95,14678,India
INV100085,Fish,2,2023-03-02,2.28,11213,India
INV100085,Rice,2,2023-03-02,13.53,17292,United Kingdom
INV100086,Pasta,5,2023-12-16,8.36,14914,Germany
INV100086,Beef,2,2023-12-16,12.01,18335,Germany
INV100086,Tomato Sauce,1,2023-12-16,14.78,12275,Germany
INV100087,Bread,4,2023-09-10,12.15,19038,Germany
INV100087,Butter,5,2023-09-10,13.32,11077,France
INV100087,Milk,4,2023-09-10,14.99,17842,USA
INV100088,Cheese,2,2023-07-30,14.6,11215,India
INV100088,Eggs,4,2023-07-30,10.36,15644,Germany
INV100088,Milk,5,2023-07-30,9.78,12981,Germany
INV100089,Tissue,5,2023-08-10,2.72,12697,Germany
INV100089,Bin Bags,3,2023-08-10,14.05,13694,France
INV100089,Detergent,5,2023-08-10,13.48,11292,France
INV100089,Tea,2,2023-08-10,9.71,19024,France
INV100090,Cheese,5,2023-03-06,9.79,19696,USA
INV100090,Tomato Sauce,2,2023-03-06,2.98,19914,France
INV100090,Bread,5,2023-03-06,1.1,10464,United Kingdom
INV100091,Cheese,2,2023-01-24,11.62,16825,USA
INV100091,Tomato Sauce,1,2023-01-24,7.72,18938,France
INV100091,Bread,3,2023-01-24,7.5,16653,France
INV100092,Bread,4,2023-08-21,7.23,15573,USA
INV100092,Butter,2,2023-08-21,5.03,15231,France
INV100092,Jam,4,2023-08-21,2.4,16070,USA
INV100092,Juice,5,2023-08-21,2.04,13960,India
INV100093,Vegetables,3,2023-03-04,14.21,16850,Germany
INV100093,Fish,2,2023-03-04,12.3,19464,France
INV100093,Rice,2,2023-03-04,11.57,18163,USA
INV100093,Eggs,4,2023-03-04,7.73,15055,India
INV100094,Bread,2,2023-01-12,3.62,15781,United Kingdom
INV100094,Butter,1,2023-01-12,4.58,19789,India
INV100094,Jam,3,2023-01-12,8.28,11761,India
INV100095,Vegetables,3,2023-03-10,1.16,10838,USA
INV100095,Fish,5,2023-03-10,3.32,19064,France
INV100095,Rice,1,2023-03-10,6.1,17378,USA
INV100096,Sugar,4,2023-05-24,5.91,15555,USA
INV100096,Flour,3,2023-05-24,11.45,13261,USA
INV100096,Milk,5,2023-05-24,6.32,10659,United Kingdom
INV100096,Butter,1,2023-05-24,2.49,15456,India
INV100096,Eggs,5,2023-05-24,7.13,19932,USA
INV100096,Coffee,2,2023-05-24,5.26,15218,Germany
INV100097,Sugar,3,2023-07-21,7.86,18351,USA
INV100097,Flour,4,2023-07-21,10.78,14911,India
INV100097,Milk,1,2023-07-21,5.84,11795,India
INV100097,Butter,5,2023-07-21,4.96,10436,USA
INV100097,Eggs,4,2023-07-21,4.35,19477,USA
INV100098,Shampoo,2,2023-04-27,12.41,13968,United Kingdom
INV100098,Soda,5,2023-04-27,14.25,11800,Germany
INV100098,Toothpaste,1,2023-04-27,6.9,16861,Germany
INV100098,Water,4,2023-04-27,10.51,16723,USA
INV100098,Detergent,5,2023-04-27,13.85,11020,Germany
INV100098,Chips,5,2023-04-27,3.51,15325,India
INV100098,Chocolate,5,2023-04-27,5.96,12837,India
INV100099,Pasta,3,2023-09-30,9.35,13150,Germany
INV100099,Beef,3,2023-09-30,8.59,13684,France
INV100099,Tomato Sauce,3,2023-09-30,10.72,18011,France
INV100100,Juice,3,2023-09-03,4.67,19395,USA
INV100100,Yogurt,4,2023-09-03,13.49,16464,France
INV100100,Fruits,2,2023-09-03,4.71,14712,United Kingdom
INV100101,Soap,2,2023-06-27,3.43,18824,France
INV100101,Toothpaste,5,2023-06-27,10.59,12249,United Kingdom
INV100101,Shampoo,5,2023-06-27,11.24,13920,Germany
INV100102,Coffee,2,2023-01-26,1.26,16771,France
INV100102,Biscuits,4,2023-01-26,1.96,12252,United Kingdom
INV100102,Chocolate,5,2023-01-26,14.68,12587,India
INV100103,Toothpaste,3,2023-12-01,4.64,10969,United Kingdom
INV100103,Shampoo,5,2023-12-01,3.87,10611,Germany
INV100103,Detergent,4,2023-12-01,13.29,12880,United Kingdom
INV100103,Vegetables,4,2023-12-01,11.93,13052,France
INV100104,Bread,3,2023-01-20,7.09,18901,USA
INV100104,Sugar,4,2023-01-20,13.39,12198,USA
INV100104,Flour,4,2023-01-20,4.46,11845,France
INV100104,Milk,2,2023-01-20,11.1,14215,Germany
INV100104,Butter,1,2023-01-20,11.18,14833,USA
INV100104,Eggs,2,2023-01-20,3.04,16643,India
INV100104,Cream,5,2023-01-20,5.25,16567,United Kingdom
INV100105,Tea,1,2023-04-05,4.28,13858,India
INV100105,Sugar,3,2023-04-05,14.33,14947,USA
INV100105,Biscuits,5,2023-04-05,0.67,15890,Germany
INV100105,Milk,1,2023-04-05,10.18,17625,France
INV100106,Soda,3,2023-03-23,10.51,14833,France
INV100106,Chips,5,2023-03-23,3.7,12188,India
INV100106,Chocolate,2,2023-03-23,7.1,19924,France
INV100107,Juice,5,2023-08-01,12.13,13578,Germany
INV100107,Yogurt,5,2023-08-01,13.16,11341,USA
INV100107,Fruits,4,2023-08-01,8.16,15927,United Kingdom
INV100108,Cream,2,2023-10-16,8.8,12455,Germany
INV100108,Sugar,3,2023-10-16,12.89,17239,United Kingdom
INV100108,Milk,2,2023-10-16,10.9,18008,United Kingdom
INV100108,Coffee,5,2023-10-16,6.96,10911,India
INV100108,Yogurt,2,2023-10-16,7.94,17484,USA
INV100109,Cream,1,2023-01-30,6.24,10049,Germany
INV100109,Yogurt,5,2023-01-30,1.56,16941,France
INV100109,Milk,1,2023-01-30,8.35,10987,United Kingdom
INV100110,Pasta,4,2023-08-30,5.93,16266,India
INV100110,Tomato Sauce,4,2023-08-30,5.95,18835,Germany
INV100110,Bread,3,2023-08-30,2.22,18802,India
INV100110,Cheese,5,2023-08-30,2.35,13648,United Kingdom
INV100110,Butter,1,2023-08-30,14.69,17585,USA
INV100110,Eggs,4,2023-08-30,8.21,13762,Germany
INV100111,Pasta,1,2023-08-24,0.97,16868,USA
INV100111,Olive Oil,1,2023-08-24,3.99,11102,United Kingdom
INV100111,Cheese,5,2023-08-24,0.99,19794,United Kingdom
INV100111,Juice,2,2023-08-24,11.24,16590,India
INV100111,Fruits,2,2023-08-24,8.33,10924,Germany
INV100111,Yogurt,5,2023-08-24,14.91,13836,USA
INV100112,Biscuits,3,2023-06-13,3.94,12347,USA
